text,label,text_label
"public ViewTabPanel getTabPanel(final IAddress priFunctionAddr,final IAddress secFunctionAddr,final Diff diff){
  for (  final TabPanel panel : tabPanels) {
    if (panel instanceof ViewTabPanel) {
      final ViewData view=((ViewTabPanel)panel).getView();
      if (view.getGraphs().getDiff() != diff) {
        continue;
      }
      final IAddress priAddr=view.getAddress(ESide.PRIMARY);
      final IAddress secAddr=view.getAddress(ESide.SECONDARY);
      if (view.isCallGraphView() && priAddr == null && secAddr == null && priFunctionAddr == null && secFunctionAddr == null) {
        return (ViewTabPanel)panel;
      }
 else       if (view.isFlowGraphView()) {
        boolean priIsEqual=priAddr == null && priFunctionAddr == null;
        if (priAddr != null && priFunctionAddr != null) {
          priIsEqual=priAddr.equals(priFunctionAddr);
        }
        boolean secIsEqual=secAddr == null && secFunctionAddr == null;
        if (secAddr != null && secFunctionAddr != null) {
          secIsEqual=secAddr.equals(secFunctionAddr);
        }
        if (priIsEqual && secIsEqual) {
          return (ViewTabPanel)panel;
        }
      }
    }
  }
  return null;
}
",1,Code Smell
"@VisibleForTesting @NonNull static List<ActivityManager.RunningAppProcessInfo> parseRunningAppProcesses(@NonNull List<String> appProcessesDump){
  List<ActivityManager.RunningAppProcessInfo> runningAppProcessInfos=new ArrayList<>();
  Matcher aprMatcher;
  Matcher pkgrMatcher;
  String line;
  ListIterator<String> it=appProcessesDump.listIterator();
  if (!it.hasNext())   return runningAppProcessInfos;
  aprMatcher=APP_PROCESS_REGEX.matcher(it.next());
  while (it.hasNext()) {
    if (!aprMatcher.find(0)) {
      aprMatcher=APP_PROCESS_REGEX.matcher(it.next());
      continue;
    }
    String uid=aprMatcher.group(1);
    String pid=aprMatcher.group(2);
    String processName=aprMatcher.group(3);
    if (uid == null || pid == null || processName == null) {
      aprMatcher=APP_PROCESS_REGEX.matcher(it.next());
      continue;
    }
    line=it.next();
    aprMatcher=APP_PROCESS_REGEX.matcher(line);
    while (it.hasNext()) {
      if (aprMatcher.find(0)) {
        break;
      }
      pkgrMatcher=PKG_LIST_REGEX.matcher(line);
      if (!pkgrMatcher.find(0)) {
        line=it.next();
        aprMatcher=APP_PROCESS_REGEX.matcher(line);
        continue;
      }
      String pkgList=pkgrMatcher.group(1);
      if (pkgList != null) {
        ActivityManager.RunningAppProcessInfo info=new ActivityManager.RunningAppProcessInfo();
        info.uid=Integer.decode(uid);
        info.pid=Integer.decode(pid);
        info.processName=processName;
        String[] split=pkgList.split("", "");
        info.pkgList=new String[split.length];
        System.arraycopy(split,0,info.pkgList,0,split.length);
        runningAppProcessInfos.add(info);
      }
      line=it.next();
      aprMatcher=APP_PROCESS_REGEX.matcher(line);
    }
  }
  return runningAppProcessInfos;
}",1,Code Smell
"@Override public BeanFactoryInitializationAotContribution processAheadOfTime(ConfigurableListableBeanFactory beanFactory){
  boolean hasJobSchedulerOrDashboardEnabled=hasJobSchedulerOrDashboardEnabled(beanFactory);
  Set<String> recurringJobClassNames=findAllRecurringJobClassNames(beanFactory);
  Set<String> jobRequestHandlerClassNames=findAllJobRequestHandlerClassNames(beanFactory);
  if (hasJobSchedulerOrDashboardEnabled || isNotNullOrEmpty(recurringJobClassNames) || isNotNullOrEmpty(jobRequestHandlerClassNames)) {
    return (ctx,code) -> {
      var hints=ctx.getRuntimeHints();
      registerAllJobRunrClasses(hints);
      registerAllRecurringJobs(hints,recurringJobClassNames);
      registerAllJobRequestHandlers(hints,jobRequestHandlerClassNames);
    }
;
  }
  return null;
}
",1,Code Smell
"private void updateBottomTabContainerPosition(){
  View parent=(View)getParent();
  if (parent != null) {
    float y=getY();
    if (getLayoutParams().height > 0) {
      y+=getLayoutParams().height;
    }
 else {
      y+=getMeasuredHeight();
    }
    if (!AndroidUtilities.isInMultiwindow && (fragment == null || !fragment.isInBubbleMode())) {
      y-=parent.getHeight();
    }
 else {
      y-=AndroidUtilities.dp(1);
    }
    if (bottomTabContainer.getTop() - y < 0 || !fixBottomTabContainerTranslation) {
      y=0;
    }
    bottomTabMainTranslation=-y;
    bottomTabContainer.setTranslationY(bottomTabMainTranslation + bottomTabAdditionalTranslation);
    if (needEmojiSearch) {
      bulletinContainer.setTranslationY(bottomTabMainTranslation + bottomTabAdditionalTranslation);
    }
  }
}",1,Code Smell
"public void saveScrollPosition(boolean fromTop){
  if (chatListView != null && chatLayoutManager != null && chatListView.getChildCount() > 0) {
    View view=null;
    int position=-1;
    int top=fromTop ? Integer.MAX_VALUE : Integer.MIN_VALUE;
    for (int i=0; i < chatListView.getChildCount(); i++) {
      View child=chatListView.getChildAt(i);
      int childPosition=chatListView.getChildAdapterPosition(child);
      if (childPosition >= 0 && (fromTop ? child.getTop() < top : child.getTop() > top)) {
        view=child;
        position=childPosition;
        top=child.getTop();
      }
    }
    if (view != null) {
      long eventId=0;
      if (view instanceof ChatMessageCell) {
        eventId=((ChatMessageCell)view).getMessageObject().eventId;
      }
 else       if (view instanceof ChatActionCell) {
        eventId=((ChatActionCell)view).getMessageObject().eventId;
      }
      savedScrollEventId=eventId;
      savedScrollPosition=position;
      savedScrollOffset=getScrollingOffsetForView(view);
    }
  }
}",1,Code Smell
"/** 
 * parseInlongId
 */
private Map<String,List<InLongIdObject>> parseInlongId(Map<String,InlongGroupId> groupIdMap,Map<String,Map<String,String>> groupParams,Map<String,InlongStreamId> streamIdMap,Map<String,Map<String,String>> streamParams,Map<String,Map<String,String>> clusterTagParams){
  Map<String,List<InLongIdObject>> inlongIdMap=new HashMap<>();
  for (  Entry<String,InlongStreamId> entry : streamIdMap.entrySet()) {
    InlongStreamId streamIdObj=entry.getValue();
    String groupId=streamIdObj.getInlongGroupId();
    InlongGroupId groupIdObj=groupIdMap.get(groupId);
    if (groupId == null || groupIdObj == null) {
      LOGGER.debug(""groupId {} or groupIdObj {} is null, ignored"",groupId,groupIdObj);
      continue;
    }
    InLongIdObject obj=new InLongIdObject();
    String inlongId=entry.getKey();
    obj.setInlongId(inlongId);
    Optional.ofNullable(groupParams.get(groupId)).ifPresent(v -> obj.getParams().putAll(v));
    Optional.ofNullable(streamParams.get(inlongId)).ifPresent(v -> obj.getParams().putAll(v));
    if (StringUtils.isBlank(streamIdObj.getTopic())) {
      obj.setTopic(groupIdObj.getTopic());
    }
 else {
      obj.setTopic(streamIdObj.getTopic());
      obj.getParams().put(KEY_NAMESPACE,groupIdObj.getTopic());
    }
    Map<String,String> tagParamMap=clusterTagParams.get(groupIdObj.getClusterTag());
    if (tagParamMap != null && StringUtils.isNotBlank(tagParamMap.get(KEY_INLONG_COMPRESS_TYPE))) {
      obj.getParams().put(KEY_INLONG_COMPRESS_TYPE,tagParamMap.get(KEY_INLONG_COMPRESS_TYPE));
    }
    inlongIdMap.computeIfAbsent(groupIdObj.getClusterTag(),k -> new ArrayList<>()).add(obj);
    InLongIdObject backupObj=new InLongIdObject();
    backupObj.setInlongId(inlongId);
    backupObj.getParams().putAll(obj.getParams());
    Map<String,String> groupParam=groupParams.get(groupId);
    if (groupParam != null && groupParam.containsKey(ClusterSwitch.BACKUP_CLUSTER_TAG) && groupParam.containsKey(ClusterSwitch.BACKUP_MQ_RESOURCE)) {
      String clusterTag=groupParam.get(ClusterSwitch.BACKUP_CLUSTER_TAG);
      String groupMqResource=groupParam.get(ClusterSwitch.BACKUP_MQ_RESOURCE);
      Map<String,String> streamParam=streamParams.get(inlongId);
      if (streamParam != null && !StringUtils.isBlank(streamParam.get(ClusterSwitch.BACKUP_MQ_RESOURCE))) {
        backupObj.setTopic(streamParam.get(ClusterSwitch.BACKUP_MQ_RESOURCE));
        backupObj.getParams().put(KEY_NAMESPACE,groupMqResource);
      }
 else {
        backupObj.setTopic(groupMqResource);
      }
      Map<String,String> backUpTagParamMap=clusterTagParams.get(groupIdObj.getClusterTag());
      if (backUpTagParamMap != null && StringUtils.isNotBlank(backUpTagParamMap.get(KEY_INLONG_COMPRESS_TYPE))) {
        backupObj.getParams().put(KEY_INLONG_COMPRESS_TYPE,backUpTagParamMap.get(KEY_INLONG_COMPRESS_TYPE));
      }
      inlongIdMap.computeIfAbsent(clusterTag,k -> new ArrayList<>()).add(backupObj);
    }
  }
  return inlongIdMap;
}
",1,Code Smell
"/** 
 * 鑾峰彇璺敱鍦板潃
 * @param menu 鑿滃崟淇℃伅
 * @return 璺敱鍦板潃
 */
public String getRouterPath(SysMenuEntity menu){
  String routerPath=menu.getPath();
  if (menu.getParentId().intValue() != 0 && isInnerLink(menu)) {
    routerPath=innerLinkReplaceEach(routerPath);
  }
  if (0 == menu.getParentId().intValue() && UserConstants.TYPE_DIR.equals(menu.getMenuType()) && UserConstants.NO_FRAME.equals(menu.getIsFrame())) {
    routerPath=""/"" + menu.getPath();
  }
 else   if (isMenuFrame(menu)) {
    routerPath=""/"";
  }
  return routerPath;
}",1,Code Smell
"public TranslucentData getTranslucentData(TranslucentData oldData,BuiltSectionMeshParts translucentMesh,CombinedCameraPos cameraPos){
  if (translucentMesh == null) {
    return NoData.forNoTranslucent(this.sectionPos);
  }
  if (oldData != null) {
    if (this.sortType == SortType.NONE && oldData instanceof AnyOrderData && oldAnyData.getQuadCount() == this.quads.length && Arrays.equals(oldAnyData.getVertexRanges(),translucentMesh.getVertexRanges())) {
      return oldAnyData;
    }
    if (oldData instanceof PresentTranslucentData) {
      if (oldPresentData.getQuadCount() == this.quads.length && oldPresentData.getQuadHash() == getQuadHash(this.quads)) {
        return oldPresentData;
      }
    }
  }
  var newData=makeNewTranslucentData(translucentMesh,cameraPos,oldData);
  if (newData instanceof PresentTranslucentData) {
    presentData.setQuadHash(getQuadHash(this.quads));
  }
  return newData;
}
",1,Code Smell
"private void loadSendAsPeers(boolean animatedUpdate){
  if (sendAsPeersObj != null || currentChat == null || !ChatObject.canSendAsPeers(currentChat) || chatActivityEnterView == null) {
    return;
  }
  sendAsPeersObj=getMessagesController().getSendAsPeers(dialog_id);
  if (sendAsPeersObj != null) {
    if (NekoConfig.disableTrending.Bool()) {
      if (Build.VERSION.SDK_INT >= Build.VERSION_CODES.N) {
        sendAsPeersObj.peers.removeIf(peer -> peer.premium_required);
      }
    }
    chatActivityEnterView.updateSendAsButton(animatedUpdate);
  }
}
",1,Code Smell
"/** 
 * Check whether the management status change is legal
 * @param newEntity  the entity to be updated
 * @param curEntity  the current entity
 * @param strBuff    string buffer
 * @param result     check result of parameter value
 * @return  true for valid, false for invalid
 */
private boolean isValidMngStatusChange(BrokerConfEntity newEntity,BrokerConfEntity curEntity,StringBuilder strBuff,ProcessResult result){
  if (newEntity.getManageStatus() == curEntity.getManageStatus()) {
    return true;
  }
  if (((newEntity.getManageStatus().getCode() < ManageStatus.STATUS_MANAGE_ONLINE.getCode()) && (curEntity.getManageStatus().getCode() >= ManageStatus.STATUS_MANAGE_ONLINE.getCode())) || ((newEntity.getManageStatus().getCode() > ManageStatus.STATUS_MANAGE_ONLINE.getCode()) && (curEntity.getManageStatus().getCode() < ManageStatus.STATUS_MANAGE_ONLINE.getCode()))) {
    result.setFailResult(DataOpErrCode.DERR_ILLEGAL_VALUE.getCode(),strBuff.append(""Illegal manage status, cannot reverse "").append(WebFieldDef.MANAGESTATUS.name).append("" from "").append(curEntity.getManageStatus().getDescription()).append("" to "").append(newEntity.getManageStatus().getDescription()).append("" for the broker("").append(WebFieldDef.BROKERID.name).append(""="").append(curEntity.getBrokerId()).append("")!"").toString());
    strBuff.delete(0,strBuff.length());
    return result.isSuccess();
  }
  return true;
}",1,Code Smell
