text,label,text_label
"private void fill(Brush brush,boolean registerUndo,Runnable onDone){
  if (!canFill || renderView.getPainting().masking || lastLocation == null) {
    return;
  }
  if (brush == null) {
    brush=renderView.getCurrentBrush();
  }
  if (brush instanceof Brush.Elliptical || brush instanceof Brush.Neon) {
    brush=new Brush.Radial();
  }
  canFill=false;
  if (brush instanceof Brush.Eraser) {
    renderView.getPainting().hasBlur=false;
  }
  renderView.getPainting().clearStroke();
  pointsCount=0;
  realPointsCount=0;
  lastAngleSet=false;
  beganDrawing=false;
  if (registerUndo) {
    renderView.onBeganDrawing();
  }
  Size size=renderView.getPainting().getSize();
  float R=Math.max(Math.max(distance((float)lastLocation.x,(float)lastLocation.y,0,0),distance((float)lastLocation.x,(float)lastLocation.y,size.width,0)),Math.max(distance((float)lastLocation.x,(float)lastLocation.y,0,size.height),distance((float)lastLocation.x,(float)lastLocation.y,size.width,size.height))) / 0.84f;
  if (arrowAnimator != null) {
    arrowAnimator.cancel();
    arrowAnimator=null;
  }
  if (fillAnimator != null) {
    fillAnimator.cancel();
    fillAnimator=null;
  }
  final Point point=new Point(lastLocation.x,lastLocation.y,1);
  final Brush finalBrush=brush;
  fillAnimator=ValueAnimator.ofFloat(0,1);
  fillAnimator.addUpdateListener(anm -> {
    float t=(float)anm.getAnimatedValue();
    Path path=new Path(new Point[]{point});
    int color=finalBrush.isEraser() ? 0xffffffff : renderView.getCurrentColor();
    path.setup(color,t * R,finalBrush);
    renderView.getPainting().paintStroke(path,true,true,null);
  }
);
  fillAnimator.addListener(new AnimatorListenerAdapter(){
    @Override public void onAnimationEnd(    Animator animation){
      fillAnimator=null;
      Path path=new Path(new Point[]{point});
      path.setup(renderView.getCurrentColor(),1f * R,finalBrush);
      int color=finalBrush.isEraser() ? 0xffffffff : renderView.getCurrentColor();
      renderView.getPainting().commitPath(path,color,registerUndo,null);
      if (registerUndo) {
        renderView.onFinishedDrawing(true);
      }
      if (onDone != null) {
        onDone.run();
      }
    }
  }
);
  fillAnimator.setDuration(450);
  fillAnimator.setInterpolator(CubicBezierInterpolator.EASE_OUT_QUINT);
  fillAnimator.start();
  if (registerUndo) {
    BotWebViewVibrationEffect.IMPACT_HEAVY.vibrate();
  }
}",1,Code Smell
"@Override public int getItemCount(){
  if (locationType == LocationActivity.LOCATION_TYPE_LIVE_VIEW) {
    return 2;
  }
 else   if (locationType == LocationActivity.LOCATION_TYPE_GROUP_VIEW) {
    return 2;
  }
 else   if (locationType == LocationActivity.LOCATION_TYPE_GROUP) {
    return 2;
  }
 else   if (biz) {
    return 2;
  }
 else   if (currentMessageObject != null) {
    return 2 + (currentLiveLocations.isEmpty() ? 1 : currentLiveLocations.size() + 3);
  }
 else   if (locationType == LocationActivity.LOCATION_TYPE_LIVE) {
    LocationController.SharingLocationInfo currentInfo=LocationController.getInstance(currentAccount).getSharingLocationInfo(dialogId);
    return 2 + currentLiveLocations.size() + (currentInfo != null && currentInfo.period != 0x7FFFFFFF ? 1 : 0);
  }
 else {
    if (searching || !searched || places.isEmpty()) {
      int count=6;
      if (locationType == LocationActivity.LOCATION_TYPE_SEND) {
        count=5;
      }
 else       if (locationType == ChatAttachAlertLocationLayout.LOCATION_TYPE_STORY) {
        count=5 + (this.street != null ? 1 : 0);
      }
      return count + (!myLocationDenied && (searching || !searched) ? 2 : 0) + (needEmptyView ? 1 : 0) - (myLocationDenied ? 2 : 0);
    }
    int count=5;
    if (locationType == LocationActivity.LOCATION_TYPE_SEND_WITH_LIVE) {
      count=6;
    }
 else     if (locationType == ChatAttachAlertLocationLayout.LOCATION_TYPE_STORY) {
      count=5;
    }
    return count + locations.size() + places.size()+ (needEmptyView ? 1 : 0);
  }
}",1,Code Smell
"@Override public boolean dispatchKeyEventPreIme(KeyEvent event){
  if (event != null && event.getKeyCode() == KeyEvent.KEYCODE_BACK && event.getAction() == KeyEvent.ACTION_UP) {
    if (textSelectionHelper.isInSelectionMode()) {
      textSelectionHelper.clear();
    }
    if (isCaptionOpen()) {
      closeCaptionEnter(true);
      return false;
    }
    if (ContentPreviewViewer.getInstance().isVisible()) {
      ContentPreviewViewer.getInstance().closeWithMenu();
      return false;
    }
    PhotoViewer.getInstance().closePhoto(true,false);
    return true;
  }
  return super.dispatchKeyEventPreIme(event);
}
",1,Code Smell
"private void setOutput(@Nullable Object output) throws ExoPlaybackException {
  @Nullable Surface surface=output instanceof Surface ? (Surface)output : null;
  if (surface == null) {
    if (placeholderSurface != null) {
      surface=placeholderSurface;
    }
 else {
      MediaCodecInfo codecInfo=getCodecInfo();
      if (codecInfo != null && shouldUsePlaceholderSurface(codecInfo)) {
        placeholderSurface=PlaceholderSurface.newInstanceV17(context,codecInfo.secure);
        surface=placeholderSurface;
      }
    }
  }
  if (this.surface != surface) {
    this.surface=surface;
    frameReleaseHelper.onSurfaceChanged(surface);
    haveReportedFirstFrameRenderedForCurrentSurface=false;
    @State int state=getState();
    @Nullable MediaCodecAdapter codec=getCodec();
    if (codec != null) {
      if (Util.SDK_INT >= 23 && surface != null && !codecNeedsSetOutputSurfaceWorkaround) {
        try {
          setOutputSurfaceV23(codec,surface);
        }
 catch (        Throwable e) {
          e.printStackTrace();
          throw new SurfaceNotValidException(e);
        }
      }
 else {
        releaseCodec();
        maybeInitCodecOrBypass();
      }
    }
    if (surface != null && surface != placeholderSurface) {
      maybeRenotifyVideoSizeChanged();
      clearRenderedFirstFrame();
      if (state == STATE_STARTED) {
        setJoiningDeadlineMs();
      }
    }
 else {
      clearReportedVideoSize();
      clearRenderedFirstFrame();
    }
  }
 else   if (surface != null && surface != placeholderSurface) {
    maybeRenotifyVideoSizeChanged();
    maybeRenotifyRenderedFirstFrame();
  }
}",1,Code Smell
"private void executeTestCase(FieldsIteratorExecutorContext context,String fuzzedField,Object currentValue){
  FuzzingStrategy strategy=context.getFuzzingStrategy().withData(currentValue);
  context.getLogger().debug(""Applying [{}] for field [{}]"",strategy,fuzzedField);
  testCaseListener.addScenario(context.getLogger(),context.getScenario() + "" Current field [{}] [{}]"",fuzzedField,strategy);
  testCaseListener.addExpectedResult(context.getLogger(),""Should return [{}]"",context.getExpectedResponseCode() != null ? context.getExpectedResponseCode().asString() : ""a response that doesn't match"" + matchArguments.getMatchString());
  FuzzingResult fuzzingResult=this.getFuzzingResult(context,fuzzedField,strategy);
  CatsResponse response=serviceCaller.call(ServiceData.builder().relativePath(context.getFuzzingData().getPath()).contractPath(context.getFuzzingData().getContractPath()).headers(context.getFuzzingData().getHeaders()).payload(fuzzingResult.json()).queryParams(context.getFuzzingData().getQueryParams()).httpMethod(context.getFuzzingData().getMethod()).contentType(context.getFuzzingData().getFirstRequestContentType()).replaceRefData(context.isReplaceRefData()).pathParamsPayload(context.getFuzzingData().getPathParamsPayload()).build());
  if (context.getExpectedResponseCode() != null) {
    testCaseListener.reportResult(context.getLogger(),context.getFuzzingData(),response,context.getExpectedResponseCode());
  }
 else   if (!matchArguments.isAnyMatchArgumentSupplied() || matchArguments.isMatchResponse(response) || matchArguments.isInputReflected(response,currentValue)) {
    testCaseListener.reportResultError(context.getLogger(),context.getFuzzingData(),""Response matches arguments"",""Response matches"" + matchArguments.getMatchString());
  }
 else {
    testCaseListener.skipTest(context.getLogger(),""Skipping test as response does not match given matchers!"");
  }
}
",1,Code Smell
"private void showLocationAlert(){
  org.telegram.ui.LocationActivity fragment=new org.telegram.ui.LocationActivity(ChatAttachAlertLocationLayout.LOCATION_TYPE_BIZ);
  if (geo != null) {
    TLRPC.TL_channelLocation initialLocation=new TLRPC.TL_channelLocation();
    initialLocation.address=address;
    initialLocation.geo_point=geo;
    fragment.setInitialLocation(initialLocation);
  }
  fragment.setDelegate((location,live,notify,scheduleDate) -> {
    geo=location.geo;
    if (TextUtils.isEmpty(address) && !TextUtils.isEmpty(fragment.getAddressName()) || mapAddress) {
      mapAddress=true;
      address=fragment.getAddressName();
      if (address == null)       address="""";
      if (editText != null) {
        ignoreEditText=true;
        editText.setText(address);
        editText.setSelection(editText.getText().length());
        ignoreEditText=false;
      }
    }
    updateMapPreview();
    listView.adapter.update(true);
    checkDone(true);
  }
);
  if (geo == null && !TextUtils.isEmpty(address)) {
    AlertDialog progressDialog=new AlertDialog(getContext(),AlertDialog.ALERT_TYPE_SPINNER);
    progressDialog.setCanCancel(false);
    progressDialog.showDelayed(200);
    Utilities.searchQueue.postRunnable(() -> {
      try {
        Geocoder geocoder=new Geocoder(getContext(),LocaleController.getInstance().getCurrentLocale());
        List<Address> addresses=geocoder.getFromLocationName(address,1);
        if (!addresses.isEmpty()) {
          Address geoAddress=addresses.get(0);
          TLRPC.TL_channelLocation initialLocation=new TLRPC.TL_channelLocation();
          initialLocation.address=address;
          initialLocation.geo_point=new TLRPC.TL_geoPoint();
          initialLocation.geo_point.lat=geoAddress.getLatitude();
          initialLocation.geo_point._long=geoAddress.getLongitude();
          fragment.setInitialLocation(initialLocation);
        }
      }
 catch (      Exception e) {
        FileLog.e(e);
      }
      AndroidUtilities.runOnUIThread(() -> {
        progressDialog.dismiss();
        presentFragment(fragment);
      }
);
    }
);
  }
 else {
    presentFragment(fragment);
  }
}",1,Code Smell
"/** 
 * Attempts to read from the queue.
 * @param formatHolder A {@link FormatHolder} to populate in the case of reading a format.
 * @param buffer A {@link DecoderInputBuffer} to populate in the case of reading a sample or theend of the stream. If a sample is read then the buffer is populated with information about the sample, but not its data. The size and absolute position of the data in the rolling buffer is stored in  {@code extrasHolder}, along with an encryption id if present and the absolute position of the first byte that may still be required after the current sample has been read. If a  {@link DecoderInputBuffer#isFlagsOnly() flags-only} buffer is passed, onlythe buffer flags may be populated by this method and the read position of the queue will not change. May be null if the caller requires that the format of the stream be read even if it's not changing.
 * @param formatRequired Whether the caller requires that the format of the stream be read even ifit's not changing. A sample will never be read if set to true, however it is still possible for the end of stream or nothing to be read.
 * @param loadingFinished True if an empty queue should be considered the end of the stream.
 * @param downstreamFormat The current downstream {@link Format}. If the format of the next sample is different to the current downstream format then a format will be read.
 * @param extrasHolder The holder into which extra sample information should be written.
 * @return The result, which can be {@link C#RESULT_NOTHING_READ},  {@link C#RESULT_FORMAT_READ} or{@link C#RESULT_BUFFER_READ}.
 */
@SuppressWarnings(""ReferenceEquality"") public synchronized int read(FormatHolder formatHolder,DecoderInputBuffer buffer,boolean formatRequired,boolean loadingFinished,Format downstreamFormat,SampleExtrasHolder extrasHolder){
  if (!hasNextSample()) {
    if (loadingFinished || isLastSampleQueued) {
      buffer.setFlags(C.BUFFER_FLAG_END_OF_STREAM);
      return C.RESULT_BUFFER_READ;
    }
 else     if (upstreamFormat != null && (formatRequired || upstreamFormat != downstreamFormat)) {
      formatHolder.format=upstreamFormat;
      return C.RESULT_FORMAT_READ;
    }
 else {
      return C.RESULT_NOTHING_READ;
    }
  }
  int relativeReadIndex=getRelativeIndex(readPosition);
  if (formatRequired || formats[relativeReadIndex] != downstreamFormat) {
    formatHolder.format=formats[relativeReadIndex];
    return C.RESULT_FORMAT_READ;
  }
  buffer.setFlags(flags[relativeReadIndex]);
  buffer.timeUs=timesUs[relativeReadIndex];
  if (buffer.isFlagsOnly()) {
    return C.RESULT_BUFFER_READ;
  }
  extrasHolder.size=sizes[relativeReadIndex];
  extrasHolder.offset=offsets[relativeReadIndex];
  extrasHolder.cryptoData=cryptoDatas[relativeReadIndex];
  readPosition++;
  return C.RESULT_BUFFER_READ;
}
",1,Code Smell
"public void createStrippedThumb(){
  if (photoThumbs == null || !canCreateStripedThubms() && !hasExtendedMediaPreview()) {
    return;
  }
  try {
    for (int a=0, N=photoThumbs.size(); a < N; a++) {
      TLRPC.PhotoSize photoSize=photoThumbs.get(a);
      if (photoSize instanceof TLRPC.TL_photoStrippedSize) {
        strippedThumb=new BitmapDrawable(ApplicationLoader.applicationContext.getResources(),ImageLoader.getStrippedPhotoBitmap(photoSize.bytes,""b""));
        break;
      }
    }
  }
 catch (  Throwable e) {
    FileLog.e(e);
  }
}",1,Code Smell
"void updateScrollLimits(){
  if (mState.getItemCount() == 0) {
    return;
  }
  int highVisiblePos, lowVisiblePos;
  int highMaxPos, lowMinPos;
  if ((mFlag & PF_REVERSE_FLOW_PRIMARY) == 0) {
    highVisiblePos=mGrid.getLastVisibleIndex();
    highMaxPos=mState.getItemCount() - 1;
    lowVisiblePos=mGrid.getFirstVisibleIndex();
    lowMinPos=0;
  }
 else {
    highVisiblePos=mGrid.getFirstVisibleIndex();
    highMaxPos=0;
    lowVisiblePos=mGrid.getLastVisibleIndex();
    lowMinPos=mState.getItemCount() - 1;
  }
  if (highVisiblePos < 0 || lowVisiblePos < 0) {
    return;
  }
  final boolean highAvailable=highVisiblePos == highMaxPos;
  final boolean lowAvailable=lowVisiblePos == lowMinPos;
  if (!highAvailable && mWindowAlignment.mainAxis().isMaxUnknown() && !lowAvailable&& mWindowAlignment.mainAxis().isMinUnknown()) {
    return;
  }
  int maxEdge, maxViewCenter;
  if (highAvailable) {
    maxEdge=mGrid.findRowMax(true,sTwoInts);
    View maxChild=findViewByPosition(sTwoInts[1]);
    maxViewCenter=getViewCenter(maxChild);
    final LayoutParams lp=(LayoutParams)maxChild.getLayoutParams();
    int[] multipleAligns=lp.getAlignMultiple();
    if (multipleAligns != null && multipleAligns.length > 0) {
      maxViewCenter+=multipleAligns[multipleAligns.length - 1] - multipleAligns[0];
    }
  }
 else {
    maxEdge=Integer.MAX_VALUE;
    maxViewCenter=Integer.MAX_VALUE;
  }
  int minEdge, minViewCenter;
  if (lowAvailable) {
    minEdge=mGrid.findRowMin(false,sTwoInts);
    View minChild=findViewByPosition(sTwoInts[1]);
    minViewCenter=getViewCenter(minChild);
  }
 else {
    minEdge=Integer.MIN_VALUE;
    minViewCenter=Integer.MIN_VALUE;
  }
  mWindowAlignment.mainAxis().updateMinMax(minEdge,maxEdge,minViewCenter,maxViewCenter);
}",1,Code Smell
"private static void fillScope(ErrorEvent ee,IScope s){
  if (ee.isShouldSendDiagnostics()) {
    if (AppLogs.get() != null) {
      AppLogs.get().flush();
    }
    var atts=ee.getAttachments().stream().map(d -> {
      try {
        var toUse=d;
        if (Files.isDirectory(d)) {
          toUse=AttachmentHelper.compressZipfile(d,FileUtils.getTempDirectory().toPath().resolve(d.getFileName().toString() + "".zip""));
        }
        return new Attachment(toUse.toString());
      }
 catch (      Exception ex) {
        ex.printStackTrace();
        return null;
      }
    }
).filter(attachment -> attachment != null).toList();
    atts.forEach(attachment -> s.addAttachment(attachment));
  }
  s.setTag(""hasLicense"",String.valueOf(LicenseProvider.get().hasPaidLicense()));
  s.setTag(""updatesEnabled"",AppPrefs.get() != null ? AppPrefs.get().automaticallyUpdate().getValue().toString() : ""unknown"");
  s.setTag(""initError"",String.valueOf(OperationMode.isInStartup()));
  s.setTag(""developerMode"",AppPrefs.get() != null ? AppPrefs.get().developerMode().getValue().toString() : ""false"");
  s.setTag(""terminal"",Boolean.toString(ee.isTerminal()));
  s.setTag(""omitted"",Boolean.toString(ee.isOmitted()));
  s.setTag(""diagnostics"",Boolean.toString(ee.isShouldSendDiagnostics()));
  s.setTag(""logs"",Boolean.toString(ee.isShouldSendDiagnostics() && !ee.getAttachments().isEmpty()));
  s.setTag(""inShutdown"",Boolean.toString(OperationMode.isInShutdown()));
  s.setTag(""unhandled"",Boolean.toString(ee.isUnhandled()));
  var exMessage=ee.getThrowable() != null ? ee.getThrowable().getMessage() : null;
  if (ee.getDescription() != null && !ee.getDescription().equals(exMessage) && ee.isShouldSendDiagnostics()) {
    s.setTag(""message"",ee.getDescription().lines().collect(Collectors.joining("" "")));
  }
  var user=new User();
  user.setId(AppState.get().getUserId().toString());
  if (ee.isShouldSendDiagnostics()) {
    user.setEmail(AppState.get().getUserEmail());
    user.setUsername(AppState.get().getUserName());
  }
  s.setUser(user);
}
",1,Code Smell
